wave,library,result_file,provider,provider_sha256,nid,catalog_name,requested_kind,status,match_count,symbol_name,symbol_address,symbol_type,symbol_source,function_entry,function_name,external,thunk,thunk_target,thunk_target_external,executable,body_min,body_max,body_addresses,instruction_count,body_sha256,entry_bytes,first_instruction,last_instruction
wave1,libSceAgcDriver,libSceAgcDriver-chunk-02.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,ZLJk9r2+2Aw,sceAgcDriverUnregisterOwnerAndResources,function,defined_body,1,ZLJk9r2+2Aw#G#A,00007200,Function,IMPORTED,00007200,ZLJk9r2+2Aw#G#A,false,false,,,true,00007200,00007205,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3ccccccccccccccccccccb818906c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-02.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,n5ElQVYsU1A,sceAgcDriverUnregisterWorkloadStream,function,defined_body,1,n5ElQVYsU1A#G#A,00000bb0,Function,IMPORTED,00000bb0,n5ElQVYsU1A#G#A,false,false,,,true,00000bb0,00000c27,120,33,67e4477e69d6e22b58a96b93f8e5b277ab5906fffcee1e76ca0cce8b45e19362,554889e541565389fb41be33006c8a8d43e083f8e17259488d3d7a740100e8ed,PUSH RBP,RET
wave1,libSceAmpr,libSceAmpr-chunk-00.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,Eul7AGEpjLo,sceAmprAprCommandBufferMapBegin,function,defined_body,1,Eul7AGEpjLo#C#A,00003990,Function,IMPORTED,00003990,Eul7AGEpjLo#C#A,false,false,,,true,00003990,00003aa1,274,76,d1ffc9f2b97cc1941456fc9aaa2c1f53954ea610d31532c0949a36db7f8e2172,554889e54157415641554154534883ec284189cc488b0d65860000488b014889,PUSH RBP,UD2
wave1,libSceAmpr,libSceAmpr-chunk-00.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,bFEs0Gs6D2A,sceAmprAprCommandBufferMapDirectBegin,function,defined_body,1,bFEs0Gs6D2A#C#A,00003ab0,Function,IMPORTED,00003ab0,bFEs0Gs6D2A#C#A,false,false,,,true,00003ab0,00003bdc,301,82,de905bf8eb254318b87863bf454a96eb6fabd2bfa4044d3da70912e7c9cbae74,554889e54157415641554154534883ec484989f5488b3545850000488b064889,PUSH RBP,UD2
wave1,libSceAmpr,libSceAmpr-chunk-00.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,X169CE6G3Y4,sceAmprAprCommandBufferMapEnd,function,defined_body,1,X169CE6G3Y4#C#A,00003be0,Function,IMPORTED,00003be0,X169CE6G3Y4#C#A,false,false,,,true,00003be0,00003c60,129,39,391be4ce4f2e0a4ed5048c68cb05e3e261a8a53a1ae0c31cba731530aedf560d,554889e54156534883ec104c8b351e840000498b06488945e8b8010002804883,PUSH RBP,UD2
wave1,libSceAmpr,libSceAmpr-chunk-00.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,mZSbNJVJpV8,sceAmprAprCommandBufferReadFileGather,function,defined_body,1,mZSbNJVJpV8#C#A,00003610,Function,IMPORTED,00003610,mZSbNJVJpV8#C#A,false,false,,,true,00003610,0000370a,251,72,03ec211260c3408eda32fdf78866b28644c0423bb47c8db52b813ae2cd70dc7e,554889e54157415641554154534883ec284c8b2de889000041be01000280498b,PUSH RBP,UD2
wave1,libSceAmpr,libSceAmpr-chunk-00.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,BVmR1H8l+XI,sceAmprAprCommandBufferReadFileGatherScatter,function,defined_body,1,BVmR1H8l+XI#C#A,000037e0,Function,IMPORTED,000037e0,BVmR1H8l+XI#C#A,false,false,,,true,000037e0,0000390b,300,86,477741a6970a3e5a330a6fe57ed8b02a20a116d8cd4c159bd1d9a75306df788f,554889e54157415641554154534883ec384989cc488b0d1588000041be010002,PUSH RBP,UD2
wave1,libSceAmpr,libSceAmpr-chunk-00.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,Jg-AgkdJHkk,sceAmprAprCommandBufferReadFileScatter,function,defined_body,1,Jg-AgkdJHkk#C#A,00003710,Function,IMPORTED,00003710,Jg-AgkdJHkk#C#A,false,false,,,true,00003710,000037d5,198,61,39dc8bdcc547dd71808719002ca46022cba8487cb40c1cfd733228ad8ab3d685,554889e54157415641554154534883ec184c8b2de888000041be01000280498b,PUSH RBP,UD2
wave1,libSceAmpr,libSceAmpr-chunk-00.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,YPxkUDhgoNI,sceAmprAprCommandBufferResetGatherScatterState,function,defined_body,1,YPxkUDhgoNI#C#A,00003910,Function,IMPORTED,00003910,YPxkUDhgoNI#C#A,false,false,,,true,00003910,00003989,122,37,18d2635a4a1309a2da5d2747cbe9b9b3a001a77dd9e5e18b30d62dab2b3a6be8,554889e54156534883ec104c8b35ee860000498b06488945e848837f1000743c,PUSH RBP,UD2
wave1,libSceAmpr,libSceAmpr-chunk-00.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,4UkZbYKVF7c,sceAmprCommandBufferConstructMarker,function,defined_body,1,4UkZbYKVF7c#C#A,00002f70,Function,IMPORTED,00002f70,4UkZbYKVF7c#C#A,false,false,,,true,00002f70,00003274,773,205,b1e0154e215af70d18c7cbaac13c5dec0a26d969d48e93e0703019ac4c18a28f,554889e54157415641554154534883ec38488b1d88900000488b03488945d048,PUSH RBP,UD2
wave1,libSceAmpr,libSceAmpr-chunk-00.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,GmOguNIsuKk,sceAmprCommandBufferConstructNop,function,defined_body,1,GmOguNIsuKk#C#A,00002c80,Function,IMPORTED,00002c80,GmOguNIsuKk#C#A,false,false,,,true,00002c80,00002db4,309,91,685f3dfd4b5c061259dd23ff753a598a5c644079e4cc7b3cbc5495f2d8ec2058,554889e54157415641554154534883ec184189f7488b3575930000488b064889,PUSH RBP,UD2
wave1,libSceAmpr,libSceAmpr-chunk-01.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,RPCAhx-aabE,sceAmprCommandBufferGetBufferBaseAddress,function,defined_body,1,RPCAhx-aabE#C#A,00001e80,Function,IMPORTED,00001e80,RPCAhx-aabE#C#A,false,false,,,true,00001e80,00001e84,5,2,54fd6cfb47b3e150944357d067e1c7fcbe9bc8b8b20527db61840cc59da2b262,488b4710c3cccccccccccccccccccccc8b4708c3cccccccccccccccccccccccc,"MOV RAX,qword ptr [RDI + 0x10]",RET
wave1,libSceAmpr,libSceAmpr-chunk-01.result.tsv,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,VEDMaQmJZng,sceAmprCommandBufferGetType,function,defined_body,1,VEDMaQmJZng#C#A,00001e60,Function,IMPORTED,00001e60,VEDMaQmJZng#C#A,false,false,,,true,00001e60,00001e62,3,2,cadd8f26469e7198cb603ea5ba1b165c25958dd0f2df803f0ade24798f5915ac,8b07c3cccccccccccccccccccccccccc8b470cc3cccccccccccccccccccccccc,"MOV EAX,dword ptr [RDI]",RET
