library,nid,catalog_name,provider,provider_sha256,ghidra_status,function_entry,function_name,body_sha256,instruction_count,include_for_prefer_lle,recommendation,reason,current_gen5_registration_count,current_prefer_lle,current_export_names,current_sources
libSceAgcDriver,HF3YllT3mXU,sceAgcDriverSubmitMultiAcbs,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00004df0,HF3YllT3mXU#G#A,7b50a3be444326b634b521cf44839a5393e939661609325873a5042dab2382e9,18,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,Xq5WmbwPTnQ,sceAgcDriverTriggerCapture,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000080a0,Xq5WmbwPTnQ#G#A,a45df15ac03ed51bc214fb03f5beecfc66b471bd491c2922752e8cec2509bad5,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,SCoAN5fYlUM,sceAgcDriverUnregisterAllResourcesForOwner,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00007210,SCoAN5fYlUM#G#A,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,ZLJk9r2+2Aw,sceAgcDriverUnregisterOwnerAndResources,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00007200,ZLJk9r2+2Aw#G#A,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,n5ElQVYsU1A,sceAgcDriverUnregisterWorkloadStream,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00000bb0,n5ElQVYsU1A#G#A,67e4477e69d6e22b58a96b93f8e5b277ab5906fffcee1e76ca0cce8b45e19362,33,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,Eul7AGEpjLo,sceAmprAprCommandBufferMapBegin,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00003990,Eul7AGEpjLo#C#A,d1ffc9f2b97cc1941456fc9aaa2c1f53954ea610d31532c0949a36db7f8e2172,76,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,bFEs0Gs6D2A,sceAmprAprCommandBufferMapDirectBegin,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00003ab0,bFEs0Gs6D2A#C#A,de905bf8eb254318b87863bf454a96eb6fabd2bfa4044d3da70912e7c9cbae74,82,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,X169CE6G3Y4,sceAmprAprCommandBufferMapEnd,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00003be0,X169CE6G3Y4#C#A,391be4ce4f2e0a4ed5048c68cb05e3e261a8a53a1ae0c31cba731530aedf560d,39,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,mZSbNJVJpV8,sceAmprAprCommandBufferReadFileGather,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00003610,mZSbNJVJpV8#C#A,03ec211260c3408eda32fdf78866b28644c0423bb47c8db52b813ae2cd70dc7e,72,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,BVmR1H8l+XI,sceAmprAprCommandBufferReadFileGatherScatter,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,000037e0,BVmR1H8l+XI#C#A,477741a6970a3e5a330a6fe57ed8b02a20a116d8cd4c159bd1d9a75306df788f,86,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,Jg-AgkdJHkk,sceAmprAprCommandBufferReadFileScatter,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00003710,Jg-AgkdJHkk#C#A,39dc8bdcc547dd71808719002ca46022cba8487cb40c1cfd733228ad8ab3d685,61,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,YPxkUDhgoNI,sceAmprAprCommandBufferResetGatherScatterState,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00003910,YPxkUDhgoNI#C#A,18d2635a4a1309a2da5d2747cbe9b9b3a001a77dd9e5e18b30d62dab2b3a6be8,37,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,4UkZbYKVF7c,sceAmprCommandBufferConstructMarker,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00002f70,4UkZbYKVF7c#C#A,b1e0154e215af70d18c7cbaac13c5dec0a26d969d48e93e0703019ac4c18a28f,205,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,GmOguNIsuKk,sceAmprCommandBufferConstructNop,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00002c80,GmOguNIsuKk#C#A,685f3dfd4b5c061259dd23ff753a598a5c644079e4cc7b3cbc5495f2d8ec2058,91,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,RPCAhx-aabE,sceAmprCommandBufferGetBufferBaseAddress,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00001e80,RPCAhx-aabE#C#A,54fd6cfb47b3e150944357d067e1c7fcbe9bc8b8b20527db61840cc59da2b262,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,VEDMaQmJZng,sceAmprCommandBufferGetType,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00001e60,VEDMaQmJZng#C#A,cadd8f26469e7198cb603ea5ba1b165c25958dd0f2df803f0ade24798f5915ac,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,tNn5WBkta60,sceAmprCommandBufferNop,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00002dc0,tNn5WBkta60#C#A,c08fb389e0cc3450a361af0c660137e1701bcaae7816a5bc0cf400f74d22bcac,52,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,pFQ9UHpO52s,sceAmprCommandBufferNopWithData,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00002e70,pFQ9UHpO52s#C#A,21b304befbb76d64229b900ba0e7a35b5b2f2bf19d68e996372e7d4ba8fbb61d,73,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,mv0O8Zg0woU,sceAmprCommandBufferPopMarker,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00003400,mv0O8Zg0woU#C#A,32a1a7df2f76da2d17ca537363fca47df1da2bb52045d38404ac0e262a9a23a6,42,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,dXPaz65HNmk,sceAmprCommandBufferPushMarker,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,000033b0,dXPaz65HNmk#C#A,c9fa0cdb1d0dd0ae19b825cd2652fc7c4b3637f0f080535d95e293df9fd32281,26,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,f12ObAMEi9A,sceAmprCommandBufferPushMarkerWithColor,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00003330,f12ObAMEi9A#C#A,40cc993bf032048e1a27517eb0b30d81b43d01e85b70d45cb612b471c9f603bd,37,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,4quckD2y7Pg,sceAmprCommandBufferSetMarker,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,000032e0,4quckD2y7Pg#C#A,5d19f8c5d0e084ff06c86632ccec7b534a6e0774494510a86ba706cd9d2f8cc9,26,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,sWbST0oQKsc,sceAmprCommandBufferSetMarkerWithColor,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00003280,sWbST0oQKsc#C#A,430399482be015ec666ddab629fb92e14f4156bbd860bdab4f0a4fa6c4821161,32,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,DLfoNxTFNVk,sceAmprCommandBufferWaitOnAddress_04_00,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00001eb0,DLfoNxTFNVk#C#A,7e7dad15a6c6c773bb9d706b16d32efe3bbc70edd0dcb8e443300484eb7dd796,97,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,cQb8Zr8Q0Y0,sceAmprCommandBufferWaitOnCounter_04_00,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00002150,cQb8Zr8Q0Y0#C#A,e0d072880b6ecc51f61da2ff4674529760c51ba0a346959b28a71dd82c897258,94,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,enZm-6GjWqw,sceAmprCommandBufferWriteAddressFromCounterPair_04_00,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00002c10,enZm-6GjWqw#C#A,379f848b0f3e2a909f0f263d98a0ffb7ac110dab22474cc14be97601fe908699,15,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
